MEDV	Linear Regression	SVM	Fold	SVM (1)	Linear Regression (1)	CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B	LSTAT
continuous	continuous	continuous	1 2 3 4 5 6 7 8 9 10	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
class	meta	meta	meta	meta	meta													
17.8	17.086354554495873	17.124330194750634	1	15.542308527980259	16.237069919857795	0.54452	0.0	21.89	0.0	0.624	6.151	97.9	1.6687	4.0	437.0	21.2	396.9	18.46
50.0	42.33006793581824	27.457296779933696	1	31.02322535892907	43.609848708902305	0.02009	95.0	2.68	0.0	0.4161	8.034	31.9	5.118	4.0	224.0	14.7	390.55	2.88
34.6	34.575951902881656	26.155883243073372	1	28.649896046041892	34.44271738510103	0.03768	80.0	1.52	0.0	0.404	7.274	38.3	7.309	2.0	329.0	12.6	392.2	6.62
12.3	13.240275483946078	12.982274678671153	1	11.008896264359246	13.39600568163858	7.99248	0.0	18.1	0.0	0.7	5.52	100.0	1.5331	24.0	666.0	20.2	396.9	24.56
18.4	18.5225163136671	16.040042577498696	1	14.554053346225867	19.026051311135966	5.66637	0.0	18.1	0.0	0.74	6.219	100.0	2.0048	24.0	666.0	20.2	395.69	16.59
8.3	10.752709508141471	12.363695919365272	1	11.59820991764886	10.484509536293757	15.8603	0.0	18.1	0.0	0.679	5.896	95.4	1.9096	24.0	666.0	20.2	7.68	24.39
29.8	25.258563326988877	21.42982693498207	1	20.217032983542076	25.21314734957648	4.64689	0.0	18.1	0.0	0.614	6.98	67.6	2.5329	24.0	666.0	20.2	374.68	11.66
28.5	32.23937419105065	26.275953150048466	1	27.01014068424055	34.341964168921635	0.03502	80.0	4.95	0.0	0.411	6.861	27.9	5.1167	4.0	245.0	19.2	396.9	3.33
17.5	17.517374655777452	17.736519625210644	1	17.66702091254639	17.22778509000458	0.7842	0.0	8.14	0.0	0.538	5.99	81.7	4.2579	4.0	307.0	21.0	386.75	14.67
21.7	24.947923312089827	21.80984424112767	1	21.437849773372893	23.827289717936036	0.08199	0.0	13.92	0.0	0.437	6.009	42.3	5.5027	4.0	289.0	16.0	396.9	10.4
20.9	21.401744729731647	21.333525502479052	1	21.873025885654332	21.77431457398308	0.03548	80.0	3.64	0.0	0.392	5.876	19.1	9.2203	1.0	315.0	16.4	395.18	9.25
16.6	16.293402664538185	16.90608955315089	1	16.85784971471436	15.965312482917476	0.67191	0.0	8.14	0.0	0.538	5.813	90.3	4.682	4.0	307.0	21.0	376.88	14.81
24.4	23.934134020568177	22.44623006598936	1	22.271425043975526	23.432043778896904	0.22969	0.0	10.59	0.0	0.489	6.326	52.5	4.3549	4.0	277.0	18.6	394.87	10.97
36.0	36.260746191027636	28.618338708066073	1	29.424281730859995	36.970123293987704	0.66351	20.0	3.97	0.0	0.647	7.333	100.0	1.8946	5.0	264.0	13.0	383.29	7.79
23.7	27.86947518978876	25.425512701431693	1	25.192289238847255	28.17987159132879	0.08244	30.0	4.93	0.0	0.428	6.481	18.5	6.1899	6.0	300.0	16.6	379.41	6.36
23.3	24.739801586921903	22.757575345777916	1	21.316146091817693	25.499941568127138	1.42502	0.0	19.58	0.0	0.871	6.51	100.0	1.7659	5.0	403.0	14.7	364.31	7.39
16.2	15.536100774124556	16.6142391982136	1	15.090153064706517	15.241357524598087	0.25915	0.0	21.89	0.0	0.624	5.693	96.0	1.7883	4.0	437.0	21.2	392.11	17.19
20.6	27.498706201232654	22.56204550871816	1	22.184646804304997	27.60025905202106	0.04294	28.0	15.04	0.0	0.464	6.249	77.3	3.615	4.0	270.0	18.2	396.9	10.59
12.1	18.549398820533344	14.800345563058524	1	12.750141152047219	18.32730822260144	9.59571	0.0	18.1	0.0	0.693	6.404	100.0	1.639	24.0	666.0	20.2	376.11	20.31
16.1	17.455845359214344	18.202022733948333	1	17.953637104224022	18.881217326326635	2.63548	0.0	9.9	0.0	0.544	4.973	37.8	2.5194	4.0	304.0	18.4	350.45	12.64
23.1	24.749738447776334	23.72002177499294	1	24.441241401814047	25.56017024487734	0.0187	85.0	4.15	0.0	0.429	6.516	27.7	8.5353	4.0	351.0	17.9	392.43	6.36
8.3	12.923841489367128	13.441246526135544	1	11.379759020173113	13.467833486760355	24.8017	0.0	18.1	0.0	0.693	5.349	96.0	1.7028	24.0	666.0	20.2	396.9	19.77
32.7	30.616472424949436	28.553194551376485	1	29.755497281969546	29.890108093555625	0.01301	35.0	1.52	0.0	0.442	7.241	49.3	7.0379	1.0	284.0	15.5	394.74	5.49
20.8	17.018962138644007	17.299548075085944	1	16.866760151151936	19.233975148685158	3.67822	0.0	18.1	0.0	0.77	5.362	96.2	2.1036	24.0	666.0	20.2	380.79	10.19
33.4	28.67264168710981	26.7780970544001	1	27.30932376375724	28.42972617814415	0.03237	0.0	2.18	0.0	0.458	6.998	45.8	6.0622	3.0	222.0	18.7	394.63	2.94
23.1	24.33729299899524	22.96226000135118	1	22.801374411633756	24.243242867953924	0.40202	0.0	9.9	0.0	0.544	6.382	67.2	3.5325	4.0	304.0	18.4	395.21	10.36
15.0	15.628270168878988	17.558084959344924	1	17.704835753386806	16.47412443531826	51.1358	0.0	18.1	0.0	0.597	5.757	100.0	1.413	24.0	666.0	20.2	2.6	10.11
20.4	20.877159259355164	18.84920441500559	1	18.605945572530338	21.090647333834635	0.13117	0.0	8.56	0.0	0.52	6.127	85.2	2.1224	5.0	384.0	20.9	387.69	14.09
13.8	16.658189288400912	15.244955580805481	1	13.281401454685474	16.994707649899144	8.05579	0.0	18.1	0.0	0.584	5.427	95.4	2.4298	24.0	666.0	20.2	352.58	18.14
20.6	16.13277022778943	20.852842127770966	1	21.073802440998712	17.23042932275086	0.10659	80.0	1.91	0.0	0.413	5.936	19.5	10.5857	4.0	334.0	22.0	376.04	5.57
24.1	24.594652588562038	23.335719314257464	1	22.555642810696565	24.453109805286314	0.07896	0.0	12.83	0.0	0.437	6.273	6.0	4.2515	5.0	398.0	18.7	394.92	6.78
16.8	20.366628100694065	19.168031736289258	1	18.576874899784407	20.60941440737961	0.22438	0.0	9.69	0.0	0.585	6.027	79.7	2.4982	6.0	391.0	19.2	396.9	14.33
28.4	28.47982654386359	25.643915668272605	1	26.281228823695862	28.671681188143886	0.12204	0.0	2.89	0.0	0.445	6.625	57.8	3.4952	2.0	276.0	18.0	357.98	6.65
17.1	17.390045157025327	14.97408270552236	1	13.1240016423099	17.292167737981526	9.72418	0.0	18.1	0.0	0.74	6.406	97.2	2.0651	24.0	666.0	20.2	385.96	19.52
15.6	16.65399512213935	17.00547824720654	1	16.892659124442805	16.10884149867406	0.75026	0.0	8.14	0.0	0.538	5.924	94.1	4.3996	4.0	307.0	21.0	394.33	16.3
23.4	23.588911352124484	22.62364718338801	1	21.995403031208014	23.213829779863865	0.19539	0.0	10.81	0.0	0.413	6.245	6.2	5.2873	4.0	305.0	19.2	377.17	7.54
12.7	12.820218257949016	15.55625692380905	1	15.156795853931754	11.772961475796777	1.13081	0.0	8.14	0.0	0.538	5.713	94.1	4.233	4.0	307.0	21.0	360.17	22.6
5.6	12.656424218059477	12.509417872981173	1	10.150089540661712	11.770906050001354	25.0461	0.0	18.1	0.0	0.693	5.987	100.0	1.5888	24.0	666.0	20.2	396.9	26.77
27.5	12.089900154506445	18.7658211750109	1	19.642392571193692	16.37010937272815	4.55587	0.0	18.1	0.0	0.718	3.561	87.9	1.6132	24.0	666.0	20.2	354.7	7.12
23.2	25.062058170613163	22.800289464862185	1	23.0192052808532	25.605783112537562	0.07022	0.0	4.05	0.0	0.51	6.02	47.2	3.5549	5.0	296.0	16.6	393.23	10.11
29.4	29.62847144941199	26.786467492847063	1	26.99619886147811	30.49086749765747	0.06664	0.0	4.05	0.0	0.51	6.546	33.1	3.1323	5.0	296.0	16.6	390.96	5.33
23.1	23.16709922734372	19.54310811324983	1	19.986529376823725	23.682897302437603	0.13914	0.0	4.05	0.0	0.51	5.572	88.5	2.5961	5.0	296.0	16.6	396.9	14.69
20.6	20.55327944385672	20.21339346268206	1	18.83754475638282	21.262732581560314	4.83567	0.0	18.1	0.0	0.583	5.905	53.2	3.1523	24.0	666.0	20.2	388.22	11.45
14.3	14.504033907513072	16.23338760772637	1	14.659752474426222	14.047233190889457	0.88125	0.0	21.89	0.0	0.624	5.637	94.7	1.9799	4.0	437.0	21.2	396.9	18.34
11.3	13.565857061510055	13.053487705149136	1	11.025318966056782	13.786749970776125	9.18702	0.0	18.1	0.0	0.7	5.536	100.0	1.5804	24.0	666.0	20.2	396.9	23.6
21.0	22.457103835212486	20.82052750765413	1	20.9359979080175	23.303476174119236	0.08014	0.0	5.96	0.0	0.499	5.85	41.5	3.9342	5.0	279.0	19.2	396.9	8.77
21.2	21.709419922006955	21.44065272530799	1	20.087604782999286	21.88205894832348	3.67367	0.0	18.1	0.0	0.583	6.312	51.9	3.9917	24.0	666.0	20.2	388.62	10.58
20.0	23.745383676262694	21.19762546947722	1	20.601459647772685	22.689787824483197	0.10153	0.0	12.83	0.0	0.437	6.279	74.5	4.0522	5.0	398.0	18.7	373.66	11.97
